X,AUC,N,P,p.adj,PermPval,Carnivora,Cetacean,Combination,ratio,Category,Source,SelectionSignal,GWASSignal,Type
A1BG,0.014585125,104,0.85681903,0.944544755,0.924682218,0.5788,0.7771,0.2225,0.2863,NA,NA,NA,NA,All
A1CF,0.268512499,99,0.001198561,0.028065046,0.043848416,8858,1.194,44.94,0.005073,NA,NA,NA,NA,All
A2M,-0.080772424,128,0.266781235,0.57960008,0.787542061,0.7261,22.4,0.2726,0.01217,NA,NA,NA,NA,All
A2ML1,0.15648734,130,0.030122071,0.186918987,0.804301114,0.3914,879485,4.074,4.633e-06,NA,NA,NA,NA,All
A3GALT2,0.047720518,80,0.605674217,0.822904244,0.872813332,0.668,2.487,0.2324,0.09344,NA,NA,NA,NA,All
A4GALT,-0.02340801,100,0.776536291,0.908955813,0.592043936,0.2145,0.2108,0.2353,1.097,NA,NA,NA,NA,All
A4GNT,-0.004443993,98,0.957466171,0.984686815,0.990200899,0.3919,0.3707,0.2141,0.5462,NA,NA,NA,NA,All
AAAS,0.258006178,79,0.005549667,0.071511014,0.007321185,0.393,2.712,4.976,1.835,NA,NA,NA,NA,All
AACS,0.098539162,109,0.211853554,0.518849053,0.294154183,0.2061,0.2071,0.2042,0.9859,NA,NA,NA,NA,All
AADACL3,0.03742052,106,0.640196454,0.841666627,0.703341778,0.5757,101.9,0.2646,0.002597,NA,NA,NA,NA,All
AADACL4,NA,NA,NA,NA,NA,0.5255,NA,0.5255,NA,NA,NA,NA,NA,All
AADAT,-0.105407567,105,0.190089202,0.491659782,0.072694785,0.5721,0.3943,0.2811,0.4913,NA,NA,NA,NA,All
AAGAB,0.023034161,85,0.797140035,0.919562806,0.900503756,0.7447,0.4393,0.2396,0.3217,NA,NA,NA,NA,All
AAK1,0.24176497,101,0.003214407,0.05130834,0.019024549,430.9,0.2947,26.75,0.06207,NA,NA,NA,NA,All
AAMDC,-0.211295435,41,0.105859795,0.364693077,0.013747631,0.9758,0.3059,1.219,1.249,NA,NA,NA,NA,All
AAMP,0.116406069,53,0.30843712,0.617841344,0.294228465,0.3191,0.3082,0.9157,2.87,NA,NA,NA,NA,All
AANAT,0.066841796,86,0.453013856,0.73229299,0.824004732,0.2414,0.2851,0.2722,0.9546,NA,NA,NA,NA,All
AAR2,-0.176539038,82,0.053091062,0.254355071,0.908384343,19.1,0.3642,1.369,0.07168,NA,NA,NA,NA,All
AARS1,-0.065275133,109,0.408219068,0.70024091,0.503211768,0.2036,0.5846,0.3523,0.6026,NA,NA,NA,NA,All
AARS2,0.18716492,121,0.012392419,0.114637523,0.038778894,11.06,0.2044,3.57,0.3228,NA,NA,NA,NA,All
AARSD1,0.300332733,90,0.000558532,0.017191373,0.05513561,8.163,0.3802,38.61,4.73,NA,NA,NA,NA,All
AASDH,0.002615368,128,0.971316185,0.989367078,0.991157925,6.473,15.46,0.1997,0.01292,NA,NA,NA,NA,All
AASDHPPT,-0.07113033,64,0.492633499,0.757578822,0.377679305,0.2556,0.691,0.3339,0.4832,NA,NA,NA,NA,All
AASS,0.013426547,103,0.868726088,0.950131839,0.84530219,0.2324,0.3891,0.2086,0.5362,NA,NA,NA,NA,All
AATF,0.104854329,114,0.17409179,0.469468651,0.019450012,0.2407,0.2551,0.415,1.627,NA,NA,NA,NA,All
AATK,0.295991826,101,0.000309363,0.011948761,0.876731093,112591,0.309,257.4,0.002286,NA,NA,NA,NA,All
ABAT,0.086096921,90,0.322515488,0.630405296,0.699199281,2.262,0.3563,0.4981,0.2202,NA,NA,NA,NA,All
ABCA12,0.110041927,134,0.121498579,0.39223992,0.786638784,1.813,11139403,0.9233,8.289e-08,NA,NA,NA,NA,All
ABCA2,0.060704801,98,0.466286605,0.740427133,0.284562579,0.213,0.7994,0.312,0.3903,NA,NA,NA,NA,All
ABCA3,-0.053462341,121,0.475025074,0.746507788,0.153698335,1.02,0.4007,0.2421,0.2375,NA,NA,NA,NA,All
ABCA4,0.034584281,131,0.630438039,0.837491752,0.714406429,0.1869,0.2494,0.2452,0.9829,NA,NA,NA,NA,All
ABCA5,-0.181590728,126,0.013259417,0.118206794,0.88273837,649.4,0.4016,3.886,0.005983,NA,NA,NA,NA,All
ABCA6,-0.251258058,119,0.000872167,0.023133272,0.830023231,2.509,1.946,10.97,4.371,NA,NA,NA,NA,All
ABCA8,0.283383383,63,0.006699653,0.08004423,0.012048155,1.617,NA,3.339,NA,NA,NA,NA,NA,All
ABCA9,-0.369645141,112,2.04870326131377e-06,0.000458082,0.849900078,18688,NA,9027,NA,NA,NA,NA,NA,All
ABCB1,-0.231524636,111,0.003069594,0.049784563,0.029211,3.803,0.3804,25.56,6.722,NA,NA,NA,NA,All
