"","TAXON","ORDER","FAMILY","HYP","LOP","FCT_HOD","FCT_AL","FCT_OL","FCT_SF","FCT_OT","FCT_CM","last_checked","last_update","FaName"
"1","Antilocapra americana","Artiodactyla ","Antilocapridae ",3,2,1,0,1,0,0,0,NA,NA,"Antilocapra_americana"
"2","Addax nasomaculatus      ","Artiodactyla    ","Bovidae ",3,2,1,0,1,1,0,0,NA,NA,"Addax_nasomaculatus      "
"3","Aepyceros melampus","Artiodactyla","Bovidae",3,2,1,0,1,0,0,0,NA,NA,"Aepyceros_melampus"
"4","Alcelaphus buselaphus","Artiodactyla","Bovidae",3,2,1,0,1,0,1,0,NA,NA,"Alcelaphus_buselaphus"
"5","Alcelaphus caama","Artiodactyla","Bovidae",3,NA,1,0,1,0,1,0,NA,NA,"Alcelaphus_caama"
"6","Alcelaphus lichtensteinii","Artiodactyla","Bovidae",3,2,1,0,1,0,1,0,NA,NA,"Alcelaphus_lichtensteinii"
"7","Ammodorcas clarkei","Artiodactyla","Bovidae",1,2,1,0,1,0,0,0,NA,NA,"Ammodorcas_clarkei"
"8","Ammotragus lervia","Artiodactyla","Bovidae",3,2,1,0,1,0,0,0,NA,NA,"Ammotragus_lervia"
"9","Antidorcas marsupialis","Artiodactyla","Bovidae",3,2,1,0,1,0,0,0,NA,NA,"Antidorcas_marsupialis"
"10","Antilope cervicapra","Artiodactyla","Bovidae",3,2,1,0,1,0,0,0,NA,NA,"Antilope_cervicapra"
"11","Beatragus hunteri","Artiodactyla","Bovidae",3,2,1,0,1,0,1,0,NA,NA,"Beatragus_hunteri"
"12","Bison bison","Artiodactyla","Bovidae",3,2,1,0,1,0,1,0,NA,NA,"Bison_bison"
"13","Bison bonasus","Artiodactyla","Bovidae",3,2,1,0,1,0,1,0,NA,NA,"Bison_bonasus"
"14","Bos frontalis","Artiodactyla","Bovidae",3,2,1,0,1,0,1,1,NA,NA,"Bos_frontalis"
"15","Bos grunniens","Artiodactyla","Bovidae",3,2,1,0,1,0,1,1,NA,NA,"Bos_grunniens"
"16","Bos javanicus","Artiodactyla","Bovidae",3,2,1,0,1,0,1,1,NA,NA,"Bos_javanicus"
"17","Bos sauveli","Artiodactyla","Bovidae",3,2,1,0,1,0,1,1,NA,NA,"Bos_sauveli"
"18","Bos taurus","Artiodactyla","Bovidae",3,2,1,0,1,0,1,1,NA,NA,"Bos_taurus"
"19","Boselaphus tragocamelus","Artiodactyla","Bovidae",3,2,1,0,1,0,0,0,NA,NA,"Boselaphus_tragocamelus"
"20","Bubalus bubalis","Artiodactyla","Bovidae",3,2,1,0,1,0,1,1,NA,NA,"Bubalus_bubalis"
"21","Bubalus depressicornis","Artiodactyla","Bovidae",3,2,1,0,1,0,1,1,NA,NA,"Bubalus_depressicornis"
"22","Bubalus mindorensis","Artiodactyla","Bovidae",3,2,1,0,1,0,1,1,NA,NA,"Bubalus_mindorensis"
"23","Bubalus quarlesi","Artiodactyla","Bovidae",3,2,1,0,1,0,1,1,NA,NA,"Bubalus_quarlesi"
"24","Budorcas taxicolor","Artiodactyla","Bovidae",3,2,1,0,1,0,0,0,NA,NA,"Budorcas_taxicolor"
"25","Capra caucasica","Artiodactyla","Bovidae",3,2,1,0,1,0,0,0,NA,NA,"Capra_caucasica"
"26","Capra cylindricornis","Artiodactyla","Bovidae",3,NA,1,0,1,0,0,0,NA,NA,"Capra_cylindricornis"
"27","Capra falconeri","Artiodactyla","Bovidae",3,2,1,0,1,0,0,0,NA,NA,"Capra_falconeri"
"28","Capra hircus","Artiodactyla","Bovidae",3,2,1,0,1,0,0,0,NA,NA,"Capra_hircus"
"29","Capra ibex","Artiodactyla","Bovidae",3,2,1,0,1,0,0,0,NA,NA,"Capra_ibex"
"30","Capra nubiana","Artiodactyla","Bovidae",3,2,1,0,1,0,0,0,NA,NA,"Capra_nubiana"
"31","Capra pyrenaica","Artiodactyla","Bovidae",3,2,1,0,1,0,0,0,NA,NA,"Capra_pyrenaica"
"32","Capra sibirica","Artiodactyla","Bovidae",3,2,1,0,1,0,0,0,NA,NA,"Capra_sibirica"
"33","Capra walie","Artiodactyla","Bovidae",3,2,1,0,1,0,0,0,NA,NA,"Capra_walie"
"34","Capricornis crispus","Artiodactyla","Bovidae",3,2,1,0,1,0,0,0,NA,NA,"Capricornis_crispus"
"35","Capricornis milneedwardsii","Artiodactyla","Bovidae",3,NA,1,0,1,0,0,0,NA,NA,"Capricornis_milneedwardsii"
"36","Capricornis rubidus","Artiodactyla","Bovidae",3,NA,1,0,1,0,0,0,NA,NA,"Capricornis_rubidus"
"37","Capricornis sumatraensis","Artiodactyla","Bovidae",3,2,1,0,1,0,0,0,NA,NA,"Capricornis_sumatraensis"
"38","Capricornis swinhoei","Artiodactyla","Bovidae",2,2,1,0,1,0,0,0,NA,NA,"Capricornis_swinhoei"
"39","Capricornis thar","Artiodactyla","Bovidae",3,NA,1,0,1,0,0,0,NA,NA,"Capricornis_thar"
"40","Cephalophus adersi","Artiodactyla","Bovidae",2,2,1,0,1,1,0,0,NA,NA,"Cephalophus_adersi"
"41","Cephalophus brookei","Artiodactyla","Bovidae",2,NA,1,0,1,1,0,0,NA,NA,"Cephalophus_brookei"
"42","Cephalophus callipygus","Artiodactyla","Bovidae",2,2,1,0,1,1,0,0,NA,NA,"Cephalophus_callipygus"
"43","Cephalophus dorsalis","Artiodactyla","Bovidae",2,2,1,0,1,1,0,0,NA,NA,"Cephalophus_dorsalis"
"44","Cephalophus harveyi","Artiodactyla","Bovidae",2,2,1,0,1,1,0,0,NA,NA,"Cephalophus_harveyi"
"45","Cephalophus jentinki","Artiodactyla","Bovidae",2,2,1,0,1,1,0,0,NA,NA,"Cephalophus_jentinki"
"46","Cephalophus leucogaster","Artiodactyla","Bovidae",2,2,1,0,1,1,0,0,NA,NA,"Cephalophus_leucogaster"
"47","Cephalophus maxwellii","Artiodactyla","Bovidae",1,NA,1,0,1,0,0,0,NA,NA,"Cephalophus_maxwellii"
"48","Cephalophus natalensis","Artiodactyla","Bovidae",2,2,1,0,1,1,0,0,NA,NA,"Cephalophus_natalensis"
"49","Cephalophus niger","Artiodactyla","Bovidae",2,2,1,0,1,1,0,0,NA,NA,"Cephalophus_niger"
"50","Cephalophus nigrifrons","Artiodactyla","Bovidae",2,2,1,0,1,1,0,0,NA,NA,"Cephalophus_nigrifrons"
"51","Cephalophus ogilbyi","Artiodactyla","Bovidae",2,2,1,0,1,1,0,0,NA,NA,"Cephalophus_ogilbyi"
"52","Cephalophus rufilatus","Artiodactyla","Bovidae",2,2,1,0,1,1,0,0,NA,NA,"Cephalophus_rufilatus"
"53","Cephalophus silvicultor","Artiodactyla","Bovidae",2,2,1,0,1,1,0,0,NA,NA,"Cephalophus_silvicultor"
"54","Cephalophus spadix","Artiodactyla","Bovidae",2,2,1,0,1,1,0,0,NA,NA,"Cephalophus_spadix"
"55","Cephalophus weynsi","Artiodactyla","Bovidae",2,2,1,0,1,1,0,0,NA,NA,"Cephalophus_weynsi"
"56","Cephalophus zebra","Artiodactyla","Bovidae",2,2,1,0,1,1,0,0,NA,NA,"Cephalophus_zebra"
"57","Connochaetes gnou","Artiodactyla","Bovidae",3,2,1,0,1,0,1,0,NA,NA,"Connochaetes_gnou"
"58","Connochaetes taurinus","Artiodactyla","Bovidae",3,2,1,0,1,0,1,0,NA,NA,"Connochaetes_taurinus"
"59","Damaliscus korrigum","Artiodactyla","Bovidae",3,2,1,0,1,0,1,0,NA,NA,"Damaliscus_korrigum"
"60","Damaliscus lunatus","Artiodactyla","Bovidae",3,2,1,0,1,0,1,0,NA,NA,"Damaliscus_lunatus"
"61","Damaliscus pygargus","Artiodactyla","Bovidae",3,2,1,0,1,0,1,0,NA,NA,"Damaliscus_pygargus"
"62","Damaliscus superstes","Artiodactyla","Bovidae",3,NA,1,0,1,0,1,0,NA,NA,"Damaliscus_superstes"
"63","Dorcatragus megalotis","Artiodactyla","Bovidae",3,2,1,0,1,0,0,0,NA,NA,"Dorcatragus_megalotis"
"64","Eudorcas rufifrons","Artiodactyla","Bovidae",3,2,1,0,1,0,0,0,NA,NA,"Eudorcas_rufifrons"
"65","Eudorcas rufina","Artiodactyla","Bovidae",3,2,1,0,1,0,0,0,NA,NA,"Eudorcas_rufina"
"66","Eudorcas thomsonii","Artiodactyla","Bovidae",3,2,1,0,1,0,0,0,NA,NA,"Eudorcas_thomsonii"
"67","Gazella arabica","Artiodactyla","Bovidae",3,2,1,0,1,0,0,0,NA,NA,"Gazella_arabica"
"68","Gazella bennettii","Artiodactyla","Bovidae",3,2,1,0,1,0,0,0,NA,NA,"Gazella_bennettii"
"69","Gazella cuvieri","Artiodactyla","Bovidae",2,2,1,0,1,0,0,0,NA,NA,"Gazella_cuvieri"
"70","Gazella dorcas","Artiodactyla","Bovidae",3,2,1,0,1,0,0,0,NA,NA,"Gazella_dorcas"
"71","Gazella erlangeri","Artiodactyla","Bovidae",3,NA,1,0,1,0,0,0,NA,NA,"Gazella_erlangeri"
